175	SINGERBD	101.9	103	100	101.5	101.1	0.8	95	2.0590	20,436
176	POPULARLIF	43.7	44.3	43.4	43.7	43.9	-0.2	158	2.0300	46,320
177	BERGERPBL	1	1,775	1,769	1,774.8	1	0	128	2.0260	1,143
178	SHARPIND	17.2	17.6	17	17.2	17.3	-0.1	167	2.0210	116,914
179	ANWARGALV	54.6	56.2	54.4	54.6	55.1	-0.5	208	2.0140	36,600
180	AFTABAUTO	25	25.6	24.8	25	25	0	164	2.0130	80,412
181	AMANFEED	23.6	24	23.5	23.6	23.7	-0.1	120	2.0030	84,860
182	NCCBANK	10.3	10.3	10.3	10.3	11.4	-1.1	102	1.9950	193,715
183	KPCL	9.6	10	9.6	9.6	9.8	-0.2	138	1.9940	205,764
184	ALARABANK	19.7	21.5	19	19.7	21	-1.3	89	1.9820	99,719
185	IFADAUTOS	22.3	22.8	22.2	22.3	22.4	-0.1	143	1.9740	87,925
186	DELTASPINN	5.4	5.7	5.4	5.4	5.6	-0.2	115	1.9550	356,135
187	BDLAMPS	109.2	110.5	109	109.2	109	0.2	131	1.9450	17,748
188	PUBALIBANK	24.4	24.5	24.2	24.4	24.4	0	124	1.9060	78,172
189	RUNNERAUTO	25.5	26.1	25.4	25.5	25.8	-0.3	120	1.8990	73,955
190	CAPMIBBLMF	8.1	8.5	8	8.1	8.3	-0.2	202	1.8400	227,086
191	MONNOAGML	281.3	287	279	281.3	283.2	-1.9	165	1.8170	6,417
192	PHARMAID	458	463.1	454	456.4	464.5	-6.5	196	1.8150	3,948
193	GRAMEENS2	12.1	12.3	12.1	12.2	12.2	-0.1	57	1.8000	147,991
194	BSRMSTEEL	51.5	52.2	51.5	51.5	52	-0.5	93	1.7610	34,051
195	KEYACOSMET	4.7	4.9	4.7	4.7	4.8	-0.1	186	1.7300	365,254
196	PHENIXINS	24	25	23.5	24	23.5	0.5	30	1.7290	71,691
197	PF1STMF	5.4	5.4	5.2	5.4	5.4	0	55	1.6940	318,125
198	NFML	11	11.3	10.5	11	11	0	183	1.6830	152,010
199	PTL	43.5	44.9	43.4	43.6	43.6	-0.1	54	1.6820	38,616
200	TITASGAS	17.4	17.5	17.1	17.4	17.1	0.3	102	1.6550	95,566
201	RENATA	479	484.5	479	479.3	482.7	-3.7	155	1.6380	3,406
202	DACCADYE	16	17	15.9	16	16.3	-0.3	100	1.6310	101,522
203	SAIFPOWER	7.6	7.9	7.5	7.6	7.7	-0.1	130	1.6290	211,911
204	UNITEDFIN	11.3	11.7	11.3	11.3	11.3	0	168	1.6210	141,478
205	KAY&QUE	188.8	192.6	188.6	189.2	190.5	-1.7	151	1.6150	8,501
206	MPETROLEUM	199.2	199.4	198	199.2	199.6	-0.4	77	1.6060	8,082
207	OLYMPIC	144.7	144.9	143.2	143.8	143.8	0.9	112	1.5960	11,106
208	SICL	19.9	20.5	19.8	19.9	19.8	0.1	110	1.5940	79,855
209	CNATEX	3.2	3.4	3.2	3.2	3.2	0	97	1.5830	488,162
210	SQUARETEXT	46.6	48.5	46.4	46.6	47.4	-0.8	174	1.5690	33,446
211	SHEPHERD	16.8	17.1	16.7	16.8	16.9	-0.1	79	1.5540	92,716
